Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Matched, 0006C020,40,28, 0006C06D,40,28
Replaced, 0006C048,72,48, 0006C095,72,48
Matched, 0006C090,40,28, 0006C0DD,40,28
Replaced, 0006C0B8,2,2, 0006C105,2,2
Matched, 0006C0BA,32,20, 0006C107,32,20
Replaced, 0006C0DA,2,2, 0006C127,2,2
Matched, 0006C0DC,32,20, 0006C129,32,20
Replaced, 0006C0FC,2,2, 0006C149,2,2
Matched, 0006C0FE,32,20, 0006C14B,32,20
Replaced, 0006C11E,2,2, 0006C16B,2,2
Matched, 0006C120,32,20, 0006C16D,32,20
Replaced, 0006C140,2,2, 0006C18D,2,2
Matched, 0006C142,32,20, 0006C18F,32,20
Replaced, 0006C162,2,2, 0006C1AF,2,2
Matched, 0006C164,48,30, 0006C1B1,48,30
Replaced, 0006C194,1,1, 0006C1E1,1,1
Matched, 0006C195,65,41, 0006C1E2,65,41
Replaced, 0006C1D6,1,1, 0006C223,1,1
Matched, 0006C1D7,81,51, 0006C224,81,51
Replaced, 0006C228,80,50, 0006C275,80,50
Matched, 0006C278,63, 3F, 0006C2C5,63, 3F
Replaced, 0006C2B7,1,1, 0006C304,1,1
Matched, 0006C2B8,81,51, 0006C305,81,51
Replaced, 0006C309,61, 3D, 0006C356,61, 3D
Matched, 0006C346,39,27, 0006C393,39,27
Replaced, 0006C36D,23,17, 0006C3BA,23,17
Matched, 0006C384,40,28, 0006C3D1,40,28
Replaced, 0006C3AC,2,2, 0006C3F9,2,2
Matched, 0006C3AE,187, BB, 0006C3FB,187, BB
Replaced, 0006C469,72,48, 0006C4B6,72,48
Matched, 0006C4B1,40,28, 0006C4FE,40,28
Replaced, 0006C4D9,2,2, 0006C526,2,2
Matched, 0006C4DB,32,20, 0006C528,32,20
Replaced, 0006C4FB,2,2, 0006C548,2,2
Matched, 0006C4FD,32,20, 0006C54A,32,20
Replaced, 0006C51D,2,2, 0006C56A,2,2
Matched, 0006C51F,32,20, 0006C56C,32,20
Replaced, 0006C53F,2,2, 0006C58C,2,2
Matched, 0006C541,32,20, 0006C58E,32,20
Replaced, 0006C561,2,2, 0006C5AE,2,2
Matched, 0006C563,32,20, 0006C5B0,32,20
Replaced, 0006C583,39,27, 0006C5D0,39,27
Matched, 0006C5AA,72,48, 0006C5F7,72,48
Replaced, 0006C5F2,9,9, 0006C63F,9,9
Matched, 0006C5FB,124, 7C, 0006C648,124, 7C
Replaced, 0006C677,1,1, 0006C6C4,1,1
Matched, 0006C678,33,21, 0006C6C5,33,21
