Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Matched, 00043FCE,69,45, 0004409E,69,45
Replaced,44013,102,66,4.40E+05,102,66
Matched,44079,41,29,44149,41,29
Replaced, 000440A2,2,2,44172,2,2
Matched, 000440A4,137,89,44174,137,89
Replaced, 0004412D,303, 012F, 000441FD,303, 012F
Matched, 0004425C,161, A1, 0004432C,161, A1
Replaced, 000442FD,174, AE, 000443CD,174, AE
Matched, 000443AB,41,29, 0004447B,41,29
Replaced, 000443D4,49,31, 000444A4,49,31
Matched,44405,206, CE, 000444D5,206, CE
Replaced, 000444D3,1,1, 000445A3,1,1
Matched, 000444D4,68,44, 000445A4,68,44
Replaced,44518,1,1,4.45E+10,1,1
Matched,44519,39,27,4.45E+11,39,27
Replaced,44540,11, 0B,44610,11, 0B
Matched, 0004454B,45, 2D, 0004461B,45, 2D
Replaced,44578,1,1,44648,1,1
Matched,44579,34,22,44649,34,22
Replaced, 0004459B,192, C0, 0004466B,192, C0
Matched, 0004465B,34,22, 0004472B,34,22
Replaced, 0004467D,126, 7E, 0004474D,126, 7E
Matched, 000446FB,35,23, 000447CB,35,23
Replaced, 0004471E,60, 3C, 000447EE,60, 3C
Matched, 0004475A,32,20, 0004482A,32,20
Replaced, 0004477A,98,62, 0004484A,98,62
Matched, 000447DC,101,65, 000448AC,101,65
Replaced,44841,1,1,44911,1,1
Matched,44842,34,22,44912,34,22
Replaced,44864,35,23,44934,35,23
Matched,44887,42, 2A,44957,42, 2A
Replaced, 000448B1,22,16,44981,22,16
Matched, 000448C7,37,25,44997,37,25
Replaced, 000448EC,273,111, 000449BC,273,111
Matched, 000449FD,108, 6C, 00044ACD,108, 6C
Replaced, 00044A69,120,78, 00044B39,120,78
Matched, 00044AE1,46, 2E, 00044BB1,46, 2E
Replaced, 00044B0F,155, 9B, 00044BDF,155, 9B
Matched, 00044BAA,35,23, 00044C7A,35,23
Replaced, 00044BCD,2,2, 00044C9D,2,2
Matched, 00044BCF,32,20, 00044C9F,32,20
Replaced, 00044BEF,49,31, 00044CBF,49,31
Matched, 00044C20,167, A7, 00044CF0,167, A7
Replaced, 00044CC7,149,95, 00044D97,149,95
Matched, 00044D5C,32,20, 00044E2C,32,20
Replaced, 00044D7C,1,1, 00044E4C,1,1
Matched, 00044D7D,117,75, 00044E4D,117,75
Replaced, 00044DF2,45, 2D, 00044EC2,45, 2D
Matched, 00044E1F,32,20, 00044EEF,32,20
Replaced, 00044E3F,48,30, 00044F0F,48,30
Matched, 00044E6F,36,24, 00044F3F,36,24
Replaced,4.40E+94,43, 2B, 00044F63,43, 2B
Matched, 00044EBE,43, 2B, 00044F8E,43, 2B
Replaced, 00044EE9,28, 1C, 00044FB9,28, 1C
Matched, 00044F05,37,25, 00044FD5,37,25
Replaced, 00044F2A,44, 2C, 00044FFA,44, 2C
Matched, 00044F56,46, 2E,45026,46, 2E
Replaced, 00044F84,177, B1,45054,177, B1
Matched,45035,64,40,45105,64,40
Replaced,45075,39,27,45145,39,27
Matched, 0004509C,47, 2F, 0004516C,47, 2F
Replaced, 000450CB,7,7, 0004519B,7,7
Matched, 000450D2,101,65, 000451A2,101,65
Replaced,45137,14, 0E,45207,14, 0E
Matched,45145,41,29,45215,41,29
Replaced, 0004516E,57,39, 0004523E,57,39
Matched, 000451A7,32,20,45277,32,20
Replaced, 000451C7,143, 8F,45297,143, 8F
Matched,45256,104,68,45326,104,68
Replaced, 000452BE,5,5, 0004538E,5,5
Matched, 000452C3,142, 8E,45393,142, 8E
Replaced,45351,13, 0D,45421,13, 0D
Matched, 0004535E,41,29, 0004542E,41,29
Replaced,45387,95, 5F,45457,95, 5F
Matched,4.53E+08,125, 7D, 000454B6,125, 7D
Replaced,45463,43, 2B,45533,43, 2B
Matched, 0004548E,35,23, 0004555E,35,23
Replaced, 000454B1,2,2,45581,2,2
Matched, 000454B3,63, 3F,45583,63, 3F
Replaced, 000454F2,2,2, 000455C2,2,2
Matched, 000454F4,33,21, 000455C4,33,21
Replaced,45515,78, 4E,4.55E+07,78, 4E
Matched,45563,71,47,45633,71,47
Replaced, 000455AA,53,35, 0004567A,53,35
Matched, 000455DF,32,20, 000456AF,32,20
Replaced, 000455FF,21,15, 000456CF,21,15
Matched,45614,123, 7B,4.56E+06,123, 7B
Replaced, 0004568F,8,8, 0004575F,8,8
Matched,45697,103,67,45767,103,67
Replaced, 000456FE,1,1, 000457CE,1,1
Matched, 000456FF,32,20, 000457CF,32,20
Replaced, 0004571F,133,85, 000457EF,133,85
Matched, 000457A4,47, 2F,45874,47, 2F
Replaced, 000457D3,13, 0D, 000458A3,13, 0D
Matched,4.57E+02,89,59, 000458B0,89,59
Replaced,45839,336,150,45909,336,150
Matched,45989,123, 7B, 00045A59,123, 7B
Replaced, 00045A04,1,1, 00045AD4,1,1
Matched, 00045A05,9515, 252B, 00045AD5,9515, 252B
Inserted, 00047F30,208, D0,48000,0,0
Matched,48000,33023, 80FF,48000,33023, 80FF
Replaced, 000500FF,1,1, 000500FF,1,1
Matched,50100,84,54,50100,84,54
Replaced,50154,1,1,50154,1,1
Matched,50155,368,170,50155,368,170
Replaced, 000502C5,1,1, 000502C5,1,1
Matched, 000502C6,66,42, 000502C6,66,42
Replaced,50308,5,5,50308,5,5
Matched, 0005030D,58, 3A, 0005030D,58, 3A
Replaced,50347,5,5,50347,5,5
Matched, 0005034C,94, 5E, 0005034C,94, 5E
Replaced, 000503AA,1,1, 000503AA,1,1
Matched, 000503AB,138, 8A, 000503AB,138, 8A
Replaced,50435,1,1,50435,1,1
Matched,50436,539, 021B,50436,539, 021B
Replaced,50651,1,1,50651,1,1
Matched,50652,543, 021F,50652,543, 021F
Replaced,50871,32,20,50871,32,20
Matched,50891,139, 8B,50891,139, 8B
Replaced, 0005091C,1,1, 0005091C,1,1
Matched, 0005091D,98,62, 0005091D,98,62
Replaced, 0005097F,1,1, 0005097F,1,1
Matched,50980,81,51,50980,81,51
Replaced, 000509D1,10, 0A, 000509D1,10, 0A
Matched, 000509DB,111, 6F, 000509DB,111, 6F
Replaced, 00050A4A,1,1, 00050A4A,1,1
Matched, 00050A4B,130,82, 00050A4B,130,82
Replaced, 00050ACD,45, 2D, 00050ACD,45, 2D
Matched, 00050AFA,183, B7, 00050AFA,183, B7
Replaced, 00050BB1,50,32, 00050BB1,50,32
Matched, 00050BE3,66,42, 00050BE3,66,42
Replaced, 00050C25,22,16, 00050C25,22,16
Matched, 00050C3B,50,32, 00050C3B,50,32
Replaced, 00050C6D,22,16, 00050C6D,22,16
Matched, 00050C83,40,28, 00050C83,40,28
Replaced, 00050CAB,9,9, 00050CAB,9,9
Matched, 00050CB4,95, 5F, 00050CB4,95, 5F
Replaced, 00050D13,1,1, 00050D13,1,1
Matched, 00050D14,202, CA, 00050D14,202, CA
Replaced, 00050DDE,61, 3D, 00050DDE,83,53
Matched, 00050E1B,38,26,5.00E+32,38,26
Replaced,5.00E+42,68,44,5.00E+58,68,44
Matched,5.00E+86,32,20, 00050E9B,32,20
Replaced, 00050EA5,162, A2, 00050EBB,162, A2
Matched, 00050F47,32,20, 00050F5D,32,20
Replaced, 00050F67,108, 6C, 00050F7D,108, 6C
Matched, 00050FD3,235, EB, 00050FE9,235, EB
Replaced, 000510BE,55,37, 000510D4,55,37
Matched, 000510F5,38,26, 0005110B,38,26
Replaced, 0005111B,1,1,51131,1,1
Matched, 0005111C,97,61,51132,97,61
Replaced, 0005117D,100,64,51193,100,64
Matched,5.11E+03,49,31, 000511F7,49,31
Replaced,51212,29, 1D,51228,29, 1D
Matched, 0005122F,35,23,51245,35,23
Replaced,51252,1,1,51268,1,1
Matched,51253,116,74,51269,116,74
Replaced, 000512C7,42, 2A, 000512DD,42, 2A
Matched, 000512F1,62, 3E,51307,62, 3E
Replaced, 0005132F,1,1,51345,1,1
Matched,51330,209, D1,51346,209, D1
Replaced,51401,7,7,51417,7,7
Matched,51408,281,119, 0005141E,281,119
Replaced,51521,93, 5D,51537,93, 5D
Matched, 0005157E,116,74,51594,116,74
Replaced, 000515F2,29, 1D,51608,29, 1D
Matched, 0005160F,35,23,51625,35,23
Replaced,51632,29, 1D,51648,29, 1D
Matched, 0005164F,109, 6D,51665,109, 6D
Replaced, 000516BC,95, 5F, 000516D2,95, 5F
Matched, 0005171B,44, 2C,51731,44, 2C
Replaced,51747,50,32, 0005175D,50,32
Matched,51779,70,46, 0005178F,70,46
Replaced, 000517BF,1,1, 000517D5,1,1
Matched, 000517C0,168, A8, 000517D6,168, A8
Replaced,51868,7,7, 0005187E,7,7
Matched, 0005186F,84,54,51885,84,54
Replaced, 000518C3,7,7, 000518D9,7,7
Matched, 000518CA,32,20,5.18E+02,32,20
Replaced, 000518EA,7,7,51900,7,7
Matched, 000518F1,100,64,51907,100,64
Replaced,51955,153,99, 0005196B,153,99
Matched, 000519EE,71,47, 00051A04,71,47
Replaced, 00051A35,27, 1B, 00051A4B,27, 1B
Matched, 00051A50,64,40, 00051A66,64,40
Replaced, 00051A90,1,1, 00051AA6,1,1
Matched, 00051A91,72,48, 00051AA7,72,48
Replaced, 00051AD9,5,5, 00051AEF,5,5
Matched, 00051ADE,40,28, 00051AF4,40,28
Replaced, 00051B06,4,4, 00051B1C,4,4
Matched, 00051B0A,62, 3E, 00051B20,62, 3E
Replaced, 00051B48,15, 0F, 00051B5E,15, 0F
Matched, 00051B57,43, 2B, 00051B6D,43, 2B
Replaced, 00051B82,5,5, 00051B98,5,5
Matched, 00051B87,40,28, 00051B9D,40,28
Replaced, 00051BAF,36,24, 00051BC5,36,24
Matched, 00051BD3,193, C1, 00051BE9,193, C1
Replaced, 00051C94,1,1, 00051CAA,1,1
Matched, 00051C95,46, 2E, 00051CAB,46, 2E
Replaced, 00051CC3,48,30, 00051CD9,48,30
Matched, 00051CF3,83,53, 00051D09,83,53
Replaced, 00051D46,51,33, 00051D5C,51,33
Matched, 00051D79,68,44, 00051D8F,68,44
Replaced, 00051DBD,17,11, 00051DD3,17,11
Matched, 00051DCE,34,22, 00051DE4,34,22
Replaced, 00051DF0,1,1,5.10E+07,1,1
Matched, 00051DF1,119,77,5.10E+08,119,77
Replaced,5.10E+69,1,1, 00051E7E,1,1
Matched,5.10E+70,65,41, 00051E7F,65,41
Replaced, 00051EAA,78, 4E, 00051EC0,78, 4E
Matched, 00051EF8,122, 7A, 00051F0E,122, 7A
Replaced, 00051F72,7,7, 00051F88,7,7
Matched, 00051F79,92, 5C, 00051F8F,92, 5C
Replaced, 00051FD5,171, AB, 00051FEB,171, AB
Matched,52080,131,83,52096,131,83
Replaced,52103,12, 0C,52119,12, 0C
Matched, 0005210F,73,49,52125,73,49
Replaced,52158,100,64, 0005216E,100,64
Matched, 000521BC,91, 5B, 000521D2,91, 5B
Replaced,52217,1,1, 0005222D,1,1
Matched,52218,44, 2C, 0005222E,44, 2C
Replaced,52244,2,2, 0005225A,2,2
Matched,52246,207, CF, 0005225C,207, CF
Replaced,52315,21,15, 0005232B,21,15
Matched, 0005232A,165, A5,52340,165, A5
Replaced, 000523CF,7,7,5.23E+07,7,7
Matched, 000523D6,62, 3E, 000523EC,62, 3E
Replaced,52414,1,1, 0005242A,1,1
Matched,52415,146,92, 0005242B,146,92
Replaced, 000524A7,119,77, 000524BD,119,77
Matched, 0005251E,278,116,52534,278,116
Replaced,52634,1,1, 0005264A,1,1
Matched,52635,143, 8F, 0005264B,143, 8F
Replaced, 000526C4,45, 2D, 000526DA,45, 2D
Matched, 000526F1,42, 2A,52707,42, 2A
Replaced, 0005271B,45, 2D,52731,45, 2D
Matched,52748,42, 2A, 0005275E,42, 2A
Replaced,52772,51,33,52788,51,33
Matched, 000527A5,42, 2A, 000527BB,42, 2A
Replaced, 000527CF,45, 2D,5.27E+07,45, 2D
Matched, 000527FC,42, 2A,52812,42, 2A
Replaced,52826,51,33, 0005283C,51,33
Matched,52859,46, 2E, 0005286F,46, 2E
Replaced,52887,45, 2D, 0005289D,45, 2D
Matched, 000528B4,46, 2E, 000528CA,46, 2E
Replaced,5.28E+04,67,43, 000528F8,67,43
Matched,52925,46, 2E, 0005293B,46, 2E
Replaced,52953,99,63,52969,99,63
Matched, 000529B6,36,24, 000529CC,36,24
Replaced, 000529DA,11, 0B, 000529F0,11, 0B
Matched,5.29E+07,36,24, 000529FB,36,24
Replaced, 00052A09,11, 0B, 00052A1F,11, 0B
Matched, 00052A14,36,24, 00052A2A,36,24
Replaced, 00052A38,24,18, 00052A4E,24,18
Matched, 00052A50,85,55, 00052A66,85,55
Replaced, 00052AA5,23,17, 00052ABB,23,17
Matched, 00052ABC,39,27, 00052AD2,39,27
Replaced, 00052AE3,1,1, 00052AF9,1,1
Matched, 00052AE4,43, 2B, 00052AFA,43, 2B
Replaced, 00052B0F,23,17, 00052B25,23,17
Matched, 00052B26,34,22, 00052B3C,34,22
Replaced, 00052B48,45, 2D, 00052B5E,45, 2D
Matched, 00052B75,34,22, 00052B8B,34,22
Replaced, 00052B97,51,33, 00052BAD,51,33
Matched, 00052BCA,34,22, 00052BE0,34,22
Replaced, 00052BEC,196, C4, 00052C02,196, C4
Matched, 00052CB0,34,22, 00052CC6,34,22
Replaced, 00052CD2,241, F1, 00052CE8,241, F1
Matched, 00052DC3,35,23, 00052DD9,35,23
Replaced, 00052DE6,129,81, 00052DFC,129,81
Matched,5.20E+68,34,22, 00052E7D,34,22
Replaced,5.20E+90,259,103, 00052E9F,259,103
Matched, 00052F8C,34,22, 00052FA2,34,22
Replaced, 00052FAE,75, 4B, 00052FC4,75, 4B
Matched, 00052FF9,36,24, 0005300F,36,24
Replaced, 0005301D,11, 0B,53033,11, 0B
Matched,53028,34,22, 0005303E,34,22
Replaced, 0005304A,141, 8D,53060,141, 8D
Matched, 000530D7,35,23, 000530ED,35,23
Replaced, 000530FA,129,81,53110,129,81
Matched, 0005317B,34,22,53191,34,22
Replaced, 0005319D,53,35, 000531B3,53,35
Matched, 000531D2,34,22,5.31E+10,34,22
Replaced, 000531F4,1,1, 0005320A,1,1
Matched, 000531F5,60, 3C, 0005320B,60, 3C
Replaced,53231,85,55,53247,85,55
Matched,53286,34,22, 0005329C,34,22
Replaced, 000532A8,45, 2D, 000532BE,45, 2D
Matched, 000532D5,34,22, 000532EB,34,22
Replaced, 000532F7,55,37, 0005330D,55,37
Matched, 0005332E,34,22,53344,34,22
Replaced,53350,65,41,53366,65,41
Matched,53391,34,22, 000533A7,34,22
Replaced, 000533B3,57,39, 000533C9,57,39
Matched, 000533EC,35,23,53402,35,23
Replaced, 0005340F,91, 5B,53425,91, 5B
Matched, 0005346A,34,22,53480,34,22
Replaced, 0005348C,67,43, 000534A2,67,43
Matched, 000534CF,34,22,5.34E+07,34,22
Replaced, 000534F1,17,11,53507,17,11
Matched,53502,34,22,53518,34,22
Replaced,53524,57,39, 0005353A,57,39
Matched, 0005355D,34,22,53573,34,22
Replaced, 0005357F,71,47,53595,71,47
Matched, 000535C6,34,22, 000535DC,34,22
Replaced,5.35E+10,17,11, 000535FE,17,11
Matched, 000535F9,35,23, 0005360F,35,23
Replaced, 0005361C,79, 4F,53632,79, 4F
Matched, 0005366B,46, 2E,53681,46, 2E
Replaced,53699,23,17, 000536AF,23,17
Matched, 000536B0,34,22, 000536C6,34,22
Replaced, 000536D2,155, 9B,5.36E+10,155, 9B
Matched, 0005376D,40,28,53783,40,28
Replaced,53795,29, 1D, 000537AB,29, 1D
Matched, 000537B2,34,22, 000537C8,34,22
Replaced, 000537D4,29, 1D, 000537EA,29, 1D
Matched, 000537F1,34,22,53807,34,22
Replaced,53813,27, 1B,53829,27, 1B
Matched, 0005382E,35,23,53844,35,23
Replaced,53851,123, 7B,53867,123, 7B
Matched, 000538CC,40,28,5.38E+04,40,28
Replaced, 000538F4,105,69, 0005390A,105,69
Matched, 0005395D,35,23,53973,35,23
Replaced,53980,14, 0E,53996,14, 0E
Matched, 0005398E,42, 2A, 000539A4,42, 2A
Replaced, 000539B8,107, 6B, 000539CE,107, 6B
Matched, 00053A23,57,39, 00053A39,57,39
Replaced, 00053A5C,22,16, 00053A72,22,16
Matched, 00053A72,50,32, 00053A88,50,32
Replaced, 00053AA4,68,44, 00053ABA,68,44
Matched, 00053AE8,45, 2D, 00053AFE,45, 2D
Replaced, 00053B15,5,5, 00053B2B,5,5
Matched, 00053B1A,45, 2D, 00053B30,45, 2D
Replaced, 00053B47,1,1, 00053B5D,1,1
Matched, 00053B48,160, A0, 00053B5E,160, A0
Replaced, 00053BE8,1,1, 00053BFE,1,1
Matched, 00053BE9,147,93, 00053BFF,147,93
Replaced, 00053C7C,53,35, 00053C92,53,35
Matched, 00053CB1,42, 2A, 00053CC7,42, 2A
Replaced, 00053CDB,44, 2C, 00053CF1,44, 2C
Matched, 00053D07,71,47, 00053D1D,71,47
Replaced, 00053D4E,55,37, 00053D64,55,37
Matched, 00053D85,66,42, 00053D9B,66,42
Replaced, 00053DC7,96,60, 00053DDD,96,60
Matched,5.30E+28,60, 3C, 00053E3D,60, 3C
Replaced,5.30E+64,1,1,5.30E+80,1,1
Matched,5.30E+65,33,21, 00053E7A,33,21
Replaced,5.30E+86,21,15, 00053E9B,21,15
Matched, 00053E9A,188, BC, 00053EB0,188, BC
Replaced, 00053F56,7,7, 00053F6C,7,7
Matched, 00053F5D,59, 3B, 00053F73,59, 3B
Replaced, 00053F98,23,17, 00053FAE,23,17
Matched, 00053FAF,72,48, 00053FC5,72,48
Replaced, 00053FF7,18,12, 0005400D,18,12
Matched,54009,47, 2F, 0005401F,47, 2F
Replaced,54038,1,1, 0005404E,1,1
Matched,54039,119,77, 0005404F,119,77
Replaced, 000540B0,44, 2C, 000540C6,44, 2C
Matched, 000540DC,83,53, 000540F2,83,53
Replaced, 0005412F,22,16,54145,22,16
Matched,54145,41,29, 0005415B,41,29
Replaced, 0005416E,84,54,54184,84,54
Matched, 000541C2,43, 2B, 000541D8,43, 2B
Replaced, 000541ED,45, 2D,54203,45, 2D
Matched, 0005421A,55,37,54230,55,37
Replaced,54251,95, 5F,54267,95, 5F
Matched, 000542B0,32,20, 000542C6,32,20
Replaced, 000542D0,32,20,5.42E+08,32,20
Matched, 000542F0,81,51,54306,81,51
Replaced,54341,143, 8F,54357,143, 8F
Matched, 000543D0,39,27,5.43E+08,39,27
Replaced, 000543F7,2,2, 0005440D,2,2
Matched, 000543F9,51,33, 0005440F,51,33
Replaced, 0005442C,1,1,54442,1,1
Matched, 0005442D,74, 4A,54443,74, 4A
Replaced,54477,18,12, 0005448D,18,12
Matched,54489,57,39, 0005449F,57,39
Replaced, 000544C2,9,9, 000544D8,9,9
Matched, 000544CB,38,26,5.44E+03,38,26
Replaced, 000544F1,17,11,54507,17,11
Matched,54502,59, 3B,54518,59, 3B
Replaced, 0005453D,66,42,54553,66,42
Matched, 0005457F,38,26,54595,38,26
Replaced, 000545A5,1,1, 000545BB,1,1
Matched, 000545A6,129,81, 000545BC,129,81
Replaced,54627,2,2, 0005463D,4,4
Matched,54629,45, 2D,54641,45, 2D
Replaced,54656,62, 3E, 0005466E,62, 3E
Matched,54694,55,37, 000546AC,55,37
Replaced, 000546CB,1,1,5.46E+05,1,1
Matched, 000546CC,130,82,5.46E+06,130,82
Replaced, 0005474E,17,11,54766,17,11
Matched, 0005475F,44, 2C,54777,44, 2C
Replaced, 0005478B,106, 6A, 000547A3,106, 6A
Matched, 000547F5,87,57, 0005480D,87,57
Replaced, 0005484C,156, 9C,54864,156, 9C
Matched,5.48E+10,49,31,54900,49,31
Replaced,54919,82,52,54931,82,52
Matched, 0005496B,42, 2A,54983,42, 2A
Replaced,54995,63, 3F, 000549AD,63, 3F
Matched, 000549D4,42, 2A, 000549EC,42, 2A
Replaced, 000549FE,75, 4B, 00054A16,75, 4B
Matched, 00054A49,42, 2A, 00054A61,42, 2A
Replaced, 00054A73,64,40, 00054A8B,64,40
Matched, 00054AB3,42, 2A, 00054ACB,42, 2A
Replaced, 00054ADD,9,9, 00054AF5,9,9
Matched, 00054AE6,33,21, 00054AFE,33,21
Replaced, 00054B07,63, 3F, 00054B1F,63, 3F
Matched, 00054B46,42, 2A, 00054B5E,42, 2A
Replaced, 00054B70,55,37, 00054B88,55,37
Matched, 00054BA7,75, 4B, 00054BBF,75, 4B
Replaced, 00054BF2,5,5, 00054C0A,5,5
Matched, 00054BF7,47, 2F, 00054C0F,47, 2F
Replaced, 00054C26,43, 2B, 00054C3E,43, 2B
Matched, 00054C51,42, 2A, 00054C69,42, 2A
Replaced, 00054C7B,53,35, 00054C93,53,35
Matched, 00054CB0,42, 2A, 00054CC8,42, 2A
Replaced, 00054CDA,53,35, 00054CF2,53,35
Matched, 00054D0F,42, 2A, 00054D27,42, 2A
Replaced, 00054D39,56,38, 00054D51,56,38
Matched, 00054D71,42, 2A, 00054D89,42, 2A
Replaced, 00054D9B,252, FC, 00054DB3,252, FC
Matched,5.40E+98,42, 2A, 00054EAF,42, 2A
Replaced, 00054EC1,72,48, 00054ED9,72,48
Matched, 00054F09,62, 3E, 00054F21,62, 3E
Replaced, 00054F47,67,43, 00054F5F,67,43
Matched, 00054F8A,75, 4B, 00054FA2,75, 4B
Replaced, 00054FD5,5,5, 00054FED,5,5
Matched, 00054FDA,44, 2C, 00054FF2,44, 2C
Replaced,55006,52,34, 0005501E,52,34
Matched, 0005503A,42, 2A,55052,42, 2A
Replaced,55064,46, 2E, 0005507C,46, 2E
Matched,55092,35,23, 000550AA,35,23
Replaced, 000550B5,1,1, 000550CD,1,1
Matched, 000550B6,42, 2A, 000550CE,42, 2A
Replaced,5.50E+02,59, 3B, 000550F8,59, 3B
Matched, 0005511B,39,27,55133,39,27
Replaced,55142,414, 019E, 0005515A,414, 019E
Matched,5.52E+02,38,26, 000552F8,38,26
Replaced,55306,1,1, 0005531E,1,1
Matched,55307,40,28, 0005531F,40,28
Replaced, 0005532F,1,1,55347,1,1
Matched,55330,40,28,55348,40,28
Replaced,55358,1,1,55370,1,1
Matched,55359,40,28,55371,40,28
Replaced,55381,1,1,55399,1,1
Matched,55382,40,28, 0005539A,40,28
Replaced, 000553AA,1,1, 000553C2,1,1
Matched, 000553AB,41,29, 000553C3,41,29
Replaced, 000553D4,41,29, 000553EC,41,29
Matched, 000553FD,120,78,55415,120,78
Replaced,55475,5,5, 0005548D,5,5
Matched, 0005547A,37,25,55492,37,25
Replaced, 0005549F,10, 0A, 000554B7,10, 0A
Matched, 000554A9,32,20, 000554C1,32,20
Replaced, 000554C9,1,1,5.54E+03,1,1
Matched, 000554CA,40,28,5.54E+04,40,28
Replaced, 000554F2,18,12, 0005550A,18,12
Matched,55504,197, C5, 0005551C,197, C5
Replaced, 000555C9,31, 1F,5.55E+03,31, 1F
Matched,5.55E+10,52,34,55600,52,34
Replaced, 0005561C,18,12,55634,18,12
Matched, 0005562E,51,33,55646,51,33
Replaced,55661,1,1,55679,1,1
Matched,55662,39,27, 0005567A,39,27
Replaced,55689,26, 1A, 000556A1,26, 1A
Matched, 000556A3,39,27, 000556BB,39,27
Replaced, 000556CA,8,8,5.56E+04,8,8
Matched, 000556D2,42, 2A, 000556EA,42, 2A
Replaced, 000556FC,31, 1F,55714,31, 1F
Matched, 0005571B,339,153,55733,339,153
Replaced, 0005586E,2,2,55886,2,2
Matched,55870,70,46,55888,70,46
Replaced, 000558B6,1,1, 000558CE,1,1
Matched, 000558B7,68,44, 000558CF,68,44
Replaced, 000558FB,10, 0A,55913,10, 0A
Matched,55905,91, 5B, 0005591D,91, 5B
Replaced,55960,22,16,55978,22,16
Matched,55976,40,28, 0005598E,40,28
Replaced, 0005599E,89,59, 000559B6,89,59
Matched, 000559F7,62, 3E, 00055A0F,62, 3E
Replaced, 00055A35,49,31, 00055A4D,49,31
Matched, 00055A66,75, 4B, 00055A7E,75, 4B
Replaced, 00055AB1,1,1, 00055AC9,1,1
Matched, 00055AB2,52,34, 00055ACA,52,34
Replaced, 00055AE6,32,20, 00055AFE,32,20
Matched, 00055B06,37,25, 00055B1E,37,25
Replaced, 00055B2B,1,1, 00055B43,1,1
Matched, 00055B2C,50,32, 00055B44,50,32
Replaced, 00055B5E,50,32, 00055B76,50,32
Matched, 00055B90,111, 6F, 00055BA8,111, 6F
Replaced, 00055BFF,1,1, 00055C17,1,1
Matched, 00055C00,40,28, 00055C18,40,28
Replaced, 00055C28,1,1, 00055C40,1,1
Matched, 00055C29,106, 6A, 00055C41,106, 6A
Replaced, 00055C93,1,1, 00055CAB,1,1
Matched, 00055C94,58, 3A, 00055CAC,58, 3A
Replaced, 00055CCE,23,17, 00055CE6,23,17
Matched, 00055CE5,54,36, 00055CFD,54,36
Replaced, 00055D1B,69,45, 00055D33,69,45
Matched, 00055D60,81,51, 00055D78,81,51
Replaced, 00055DB1,1,1, 00055DC9,1,1
Matched, 00055DB2,103,67, 00055DCA,103,67
Replaced,5.50E+20,31, 1F,5.50E+32,31, 1F
Matched,5.50E+39,121,79,5.50E+51,121,79
Replaced, 00055EB1,5,5, 00055EC9,5,5
Matched, 00055EB6,34,22, 00055ECE,34,22
Replaced, 00055ED8,32,20, 00055EF0,32,20
Matched, 00055EF8,442, 01BA, 00055F10,442, 01BA
Replaced, 000560B2,1,1, 000560CA,1,1
Matched, 000560B3,73,49, 000560CB,73,49
Replaced, 000560FC,2,2,56114,2,2
Matched, 000560FE,106, 6A,56116,106, 6A
Replaced,56168,1,1,56180,1,1
Matched,56169,40,28,56181,40,28
Replaced,56191,16,10, 000561A9,16,10
Matched, 000561A1,33,21, 000561B9,33,21
Replaced, 000561C2,16,10, 000561DA,16,10
Matched, 000561D2,78, 4E, 000561EA,78, 4E
Replaced,56220,1,1,56238,1,1
Matched,56221,48,30,56239,48,30
Replaced,56251,1,1,56269,1,1
Matched,56252,78, 4E, 0005626A,78, 4E
Replaced, 000562A0,2,2, 000562B8,2,2
Matched, 000562A2,47, 2F, 000562BA,47, 2F
Replaced, 000562D1,1,1,5.62E+11,1,1
Matched, 000562D2,69,45, 000562EA,69,45
Replaced,56317,1,1, 0005632F,1,1
Matched,56318,54,36,56330,54,36
Replaced, 0005634E,1,1,56366,1,1
Matched, 0005634F,87,57,56367,87,57
Replaced, 000563A6,18,12, 000563BE,18,12
Matched, 000563B8,80,50, 000563D0,80,50
Replaced,56408,9,9,56420,9,9
Matched,56411,91, 5B,56429,91, 5B
Replaced, 0005646C,1,1,56484,1,1
Matched, 0005646D,59, 3B,56485,59, 3B
Replaced, 000564A8,5,5, 000564C0,5,5
Matched, 000564AD,51,33, 000564C5,51,33
Replaced,5.64E+02,2,2, 000564F8,2,2
Matched,5.64E+04,70,46, 000564FA,70,46
Replaced,56528,286, 011E,56540,286, 011E
Matched,56646,64,40, 0005665E,64,40
Replaced,56686,83,53, 0005669E,83,53
Matched, 000566D9,32,20, 000566F1,32,20
Replaced, 000566F9,2,2,56711,2,2
Matched, 000566FB,149,95,56713,149,95
Replaced,56790,138, 8A, 000567A8,138, 8A
Matched, 0005681A,32,20,56832,32,20
Replaced, 0005683A,119,77,56852,131,83
Matched, 000568B1,38,26, 000568D5,38,26
Replaced, 000568D7,217, D9, 000568FB,277,115
Matched, 000569B0,76, 4C, 00056A10,76, 4C
Replaced, 000569FC,22,16, 00056A5C,22,16
Matched, 00056A12,210, D2, 00056A72,210, D2
Replaced, 00056AE4,9,9, 00056B44,9,9
Matched, 00056AED,445, 01BD, 00056B4D,445, 01BD
Replaced, 00056CAA,6,6, 00056D0A,6,6
Matched, 00056CB0,46, 2E, 00056D10,46, 2E
Replaced, 00056CDE,2,2, 00056D3E,2,2
Matched, 00056CE0,132,84, 00056D40,132,84
Replaced, 00056D64,1,1, 00056DC4,1,1
