c01cc2 inx                    A:b1d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 110 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 122 F:15
c01cbf stz $0200,x   [000213] A:b1d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 140 F:15
c01cc2 inx                    A:b1d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 172 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 184 F:15
c01cbf stz $0200,x   [000214] A:b1d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 202 F:15
c01cc2 inx                    A:b1d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 234 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 246 F:15
c01cbf stz $0200,x   [000215] A:b1d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 264 F:15
c01cc2 inx                    A:b1d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 296 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 308 F:15
c01cbf stz $0200,x   [000216] A:b1d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 326 F:15
c01cc2 inx                    A:b1d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 358 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 370 F:15
c01cbf stz $0200,x   [000217] A:b1d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 388 F:15
c01cc2 inx                    A:b1d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 420 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 432 F:15
c01cbf stz $0200,x   [000218] A:b1d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 450 F:15
c01cc2 inx                    A:b1d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 482 F:15
