c01cbf stz $0200,x   [000217] A:a2d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 648 F:15
c01cc2 inx                    A:a2d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 680 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 692 F:15
c01cbf stz $0200,x   [000218] A:a2d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 710 F:15
c01cc2 inx                    A:a2d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 742 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 754 F:15
c01cbf stz $0200,x   [000219] A:a2d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 772 F:15
c01cc2 inx                    A:a2d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 804 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 816 F:15
c01cbf stz $0200,x   [00021a] A:a2d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 834 F:15
c01cc2 inx                    A:a2d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 866 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 878 F:15
c01cbf stz $0200,x   [00021b] A:a2d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 896 F:15
c01cc2 inx                    A:a2d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 928 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 940 F:15
c01cbf stz $0200,x   [00021c] A:a2d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 958 F:15
c01cc2 inx                    A:a2d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 990 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1002 F:15
c01cbf stz $0200,x   [00021d] A:a2d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1020 F:15
c01cc2 inx                    A:a2d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1052 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1064 F:15
c01cbf stz $0200,x   [00021e] A:a2d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1082 F:15
c01cc2 inx                    A:a2d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1114 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1126 F:15
c01cbf stz $0200,x   [00021f] A:a2d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1144 F:15
c01cc2 inx                    A:a2d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1176 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1188 F:15
c01cbf stz $0200,x   [000220] A:a2d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1206 F:15
c01cc2 inx                    A:a2d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1238 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1250 F:15
c01cbf stz $0200,x   [000221] A:a2d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1268 F:15
c01cc2 inx                    A:a2d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1300 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1312 F:15
c01cbf stz $0200,x   [000222] A:a2d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1330 F:15
c01cc2 inx                    A:a2d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1362 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:  10 F:15
c01cbf stz $0200,x   [000223] A:a2d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:  28 F:15
c01cc2 inx                    A:a2d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:  60 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:  72 F:15
c01cbf stz $0200,x   [000224] A:a2d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:  90 F:15
c01cc2 inx                    A:a2d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 122 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 134 F:15
c01cbf stz $0200,x   [000225] A:a2d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 152 F:15
c01cc2 inx                    A:a2d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 184 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 196 F:15
c01cbf stz $0200,x   [000226] A:a2d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 214 F:15
c01cc2 inx                    A:a2d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 246 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 258 F:15
c01cbf stz $0200,x   [000227] A:a2d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 276 F:15
c01cc2 inx                    A:a2d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 308 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 320 F:15
c01cbf stz $0200,x   [000228] A:a2d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 338 F:15
c01cc2 inx                    A:a2d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 370 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 382 F:15
c01cbf stz $0200,x   [000229] A:a2d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 400 F:15
c01cc2 inx                    A:a2d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 432 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 444 F:15
c01cbf stz $0200,x   [00022a] A:a2d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 462 F:15
c01cc2 inx                    A:a2d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 494 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 506 F:15
c01cbf stz $0200,x   [00022b] A:a2d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 524 F:15
c01cc2 inx                    A:a2d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 596 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 608 F:15
c01cbf stz $0200,x   [00022c] A:a2d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 626 F:15
c01cc2 inx                    A:a2d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 658 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 670 F:15
c01cbf stz $0200,x   [00022d] A:a2d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 688 F:15
c01cc2 inx                    A:a2d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 720 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 732 F:15
c01cbf stz $0200,x   [00022e] A:a2d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 750 F:15
c01cc2 inx                    A:a2d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 782 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:002f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 794 F:15
c01cbf stz $0200,x   [00022f] A:a2d1 X:002f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 812 F:15
