c01cbf stz $0200,x   [00021e] A:b2d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 912 F:15
c01cc2 inx                    A:b2d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 944 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 956 F:15
c01cbf stz $0200,x   [00021f] A:b2d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 974 F:15
c01cc2 inx                    A:b2d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1006 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1018 F:15
c01cbf stz $0200,x   [000220] A:b2d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1036 F:15
c01cc2 inx                    A:b2d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1068 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1080 F:15
c01cbf stz $0200,x   [000221] A:b2d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1098 F:15
c01cc2 inx                    A:b2d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1130 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1142 F:15
c01cbf stz $0200,x   [000222] A:b2d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1160 F:15
c01cc2 inx                    A:b2d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1192 F:15
